"","FCP_M1","FCP_M2","FCP_M3","FF_O","LTAVG_Y10P","NFCP_M1","NFCP_M2","NFCP_M3","PRIME_NA","TB_M3","TB_M6","TB_WK4","TB_Y1","TCMII_Y10","TCMII_Y20","TCMII_Y30","TCMII_Y5","TCMII_Y7","TCMNOM_M1","TCMNOM_M3","TCMNOM_M6","TCMNOM_Y10","TCMNOM_Y1","TCMNOM_Y20","TCMNOM_Y2","TCMNOM_Y30","TCMNOM_Y3","TCMNOM_Y5","TCMNOM_Y7"
"20100226",0.08,0.02,0.01,0.01,-0.0600000000000001,0.00999999999999998,0.03,0.02,0,0.02,0,0.03,-0.05,-0.0700000000000001,-0.0600000000000001,-0.0900000000000003,-0.0800000000000001,-0.1,0.03,0.02,0,-0.19,-0.05,-0.199999999999999,-0.1,-0.180000000000001,-0.12,-0.17,-0.2
"20100302",-0.04,0.01,0.00999999999999998,0.01,0.00999999999999979,-0.05,-0.02,-0.03,0,0.01,0,0,0,-0.02,0,0.0100000000000002,-0.03,-0.01,0,0.01,0,0.0100000000000002,0,0.0199999999999996,-0.01,0.0200000000000005,-0.03,-0.0299999999999998,-0.00999999999999979
"20100303",0.06,0.16,0.03,0.00999999999999998,0,0.03,-0.02,-0.00999999999999998,0,0,0,0,0,0,0.01,0.00999999999999979,-0.01,-0.01,0,0,0,0.00999999999999979,0.01,0.00999999999999979,0.0199999999999999,0.00999999999999979,0.01,0,0
"20100304",0.04,-0.18,-0.00999999999999998,0.01,-0.02,0,0.02,0.02,0,0,0,0,0.01,-0.02,-0.03,-0.0299999999999998,0.01,-0.01,0,0,0,-0.02,0.02,-0.0299999999999994,0.04,-0.0200000000000005,0.0399999999999998,0.00999999999999979,-0.0100000000000002
"20100310",-0.01,0.12,-0.03,-0.02,0.0500000000000003,0.01,0.03,0.03,0,0.00999999999999998,0.02,0.03,0.07,0.05,0.04,0.0600000000000001,0.04,0.05,0.03,0.00999999999999998,0.02,0.12,0.04,0.13,0.0600000000000001,0.130000000000001,0.0700000000000001,0.11,0.11
"20100315",-0.05,-0.1,0,0.06,-0.04,0.04,0.00999999999999998,0.04,0,0.02,0.03,-0.01,0.01,-0.03,-0.05,-0.0500000000000003,0.01,0.01,0,0.02,0.03,-0.02,0.01,-0.0499999999999998,0.0399999999999999,-0.0600000000000005,0.04,0.0299999999999998,0.00999999999999979
"20100316",-0.04,0.02,0.06,0,-0.0300000000000002,-0.02,-0.00999999999999998,-0.03,0,-0.01,0,0.03,0.01,-0.04,-0.03,-0.02,-0.04,-0.04,0.02,-0.01,0,-0.0499999999999998,0.00999999999999995,-0.0500000000000007,-0.0299999999999999,-0.04,-0.02,-0.0499999999999998,-0.0499999999999998
"20100317",0.00999999999999998,-0.01,0.02,-0.02,-0.04,0.01,0,0,0,-0.01,-0.00999999999999998,-0.01,-0.01,-0.02,-0.02,-0.04,-0.03,-0.03,-0.01,-0.01,-0.00999999999999998,-0.0100000000000002,0,-0.0199999999999996,0.0199999999999999,-0.0300000000000002,0,0.00999999999999979,0
"20100318",0.02,0.08,-0.07,0,0.02,-0.02,0,0,0,0.01,0.02,0.01,0,0.05,0.01,0.02,0.1,0.0800000000000001,0.01,0.01,0.03,0.0300000000000002,0,0.0199999999999996,0.03,0.0300000000000002,0.05,0.0600000000000001,0.04
"20100322",-0.01,-0.01,0.06,0,0.0100000000000002,0.01,0.02,0.02,0,-0.01,-0.01,-0.01,0,0.03,0,0,0.09,0.0700000000000001,-0.01,-0.01,-0.02,-0.0100000000000002,0,-0.0199999999999996,0.03,-0.0199999999999996,0.02,-0.00999999999999979,-0.02
